elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.515391,0,0,0,0,0,0,0,0,0,0,0,0
0.516826,0,0,0,0,0,0,0,0,0,0,0,0
0.518255,0,0,0,0,0,0,0,0,0,0,0,0
0.519682,0,0,0,0,0,0,0,0,0,0,0,0
0.521120,0,0,0,0,0,0,0,0,0,0,0,0
0.522549,0,0,0,0,0,0,0,0,0,0,0,0
0.524104,0,0,0,0,0,0,0,0,0,0,0,0
0.525696,0,0,0,0,0,0,0,0,0,0,0,0
0.527166,0,0,0,0,0,0,0,0,0,0,0,0
0.528735,0,0,0,0,0,0,0,0,0,0,0,0
0.530372,0,0,0,0,0,0,0,0,0,0,0,0
0.531977,0,0,0,0,0,0,0,0,0,0,0,0
0.533570,0,0,0,0,0,0,0,0,0,0,0,0
0.535162,0,0,0,0,0,0,0,0,0,0,0,0
0.536757,0,0,0,0,0,0,0,0,0,0,0,0
0.538349,0,0,0,0,0,0,0,0,0,0,0,0
0.539940,0,0,0,0,0,0,0,0,0,0,0,0
0.541643,0,0,0,0,0,0,0,0,0,0,0,0
0.543254,0,0,0,0,0,0,0,0,0,0,0,0
0.544850,0,0,0,0,0,0,0,0,0,0,0,0
0.546491,0,0,0,0,0,0,0,0,0,0,0,0
0.548085,0,0,0,0,0,0,0,0,0,0,0,0
0.549679,0,0,0,0,0,0,0,0,0,0,0,0
0.551263,0,0,0,0,0,0,0,0,0,0,0,0
0.552914,0,0,0,0,0,0,0,0,0,0,0,0
0.554353,0,0,0,0,0,0,0,0,0,0,0,0
0.555791,0,0,0,0,0,0,0,0,0,0,0,0
0.557354,0,0,0,0,0,0,0,0,0,0,0,0
0.558986,0,0,0,0,0,0,0,0,0,0,0,0
0.560579,0,0,0,0,0,0,0,0,0,0,0,0
0.561992,0,0,0,0,0,0,0,0,0,0,0,0
0.563427,0,0,0,0,0,0,0,0,0,0,0,0
0.565003,0,0,0,0,0,0,0,0,0,0,0,0
0.566599,0,0,0,0,0,0,0,0,0,0,0,0
0.568193,0,0,0,0,0,0,0,0,0,0,0,0
0.569788,0,0,0,0,0,0,0,0,0,0,0,0
0.571383,0,0,0,0,0,0,0,0,0,0,0,0
0.572979,0,0,0,0,0,0,0,0,0,0,0,0
0.574565,0,0,0,0,0,0,0,0,0,0,0,0
0.576163,0,0,0,0,0,0,0,0,0,0,0,0
0.577667,0,0,0,0,0,0,0,0,0,0,0,0
0.579234,0,0,0,0,0,0,0,0,0,0,0,0
0.580831,0,0,0,0,0,0,0,0,0,0,0,0
0.582425,0,0,0,0,0,0,0,0,0,0,0,0
0.584018,0,0,0,0,0,0,0,0,0,0,0,0
0.585613,0,0,0,0,0,0,0,0,0,0,0,0
0.587222,0,0,0,0,0,0,0,0,0,0,0,0
0.588820,0,0,0,0,0,0,0,0,0,0,0,0
0.590414,0,0,0,0,0,0,0,0,0,0,0,0
0.592009,0,0,0,0,0,0,0,0,0,0,0,0
0.593646,0,0,0,0,0,0,0,0,0,0,0,0
0.595242,0,0,0,0,0,0,0,0,0,0,0,0
0.596839,0,0,0,0,0,0,0,0,0,0,0,0
0.598448,0,0,0,0,0,0,0,0,0,0,0,0
0.600042,0,0,0,0,0,0,0,0,0,0,0,0
0.601636,0,0,0,0,0,0,0,0,0,0,0,0
0.603232,0,0,0,0,0,0,0,0,0,0,0,0
0.604827,0,0,0,0,0,0,0,0,0,0,0,0
0.606421,0,0,0,0,0,0,0,0,0,0,0,0
0.608015,0,0,0,0,0,0,0,0,0,0,0,0
0.609665,0,0,0,0,0,0,0,0,0,0,0,0
0.611261,0,0,0,0,0,0,0,0,0,0,0,0
0.612858,0,0,0,0,0,0,0,0,0,0,0,0
0.614453,0,0,0,0,0,0,0,0,0,0,0,0
0.616046,0,0,0,0,0,0,0,0,0,0,0,0
0.617640,0,0,0,0,0,0,0,0,0,0,0,0
0.619233,0,0,0,0,0,0,0,0,0,0,0,0
0.620844,0,0,0,0,0,0,0,0,0,0,0,0
0.622439,0,0,0,0,0,0,0,0,0,0,0,0
0.624031,0,0,0,0,0,0,0,0,0,0,0,0
0.625670,0,0,0,0,0,0,0,0,0,0,0,0
0.627264,0,0,0,0,0,0,0,0,0,0,0,0
0.628860,0,0,0,0,0,0,0,0,0,0,0,0
0.630455,0,0,0,0,0,0,0,0,0,0,0,0
0.632063,0,0,0,0,0,0,0,0,0,0,0,0
0.633658,0,0,0,0,0,0,0,0,0,0,0,0
0.635252,0,0,0,0,0,0,0,0,0,0,0,0
0.636848,0,0,0,0,0,0,0,0,0,0,0,0
0.638443,0,0,0,0,0,0,0,0,0,0,0,0
0.640037,0,0,0,0,0,0,0,0,0,0,0,0
0.641674,0,0,0,0,0,0,0,0,0,0,0,0
0.643284,0,0,0,0,0,0,0,0,0,0,0,0
0.644881,0,0,0,0,0,0,0,0,0,0,0,0
0.646476,0,0,0,0,0,0,0,0,0,0,0,0
0.648069,0,0,0,0,0,0,0,0,0,0,0,0
0.649664,0,0,0,0,0,0,0,0,0,0,0,0
