elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.207541,0,0,0,0,0,0,0,0
0.209059,0,0,0,0,0,0,0,0
0.210506,0,0,0,0,0,0,0,0
0.211923,0,0,0,0,0,0,0,0
0.213413,0,0,0,0,0,0,0,0
0.214976,0,0,0,0,0,0,0,0
0.216490,0,0,0,0,0,0,0,0
0.217973,0,0,0,0,0,0,0,0
0.219549,0,0,0,0,0,0,0,0
0.220990,0,0,0,0,0,0,0,0
0.222423,0,0,0,0,0,0,0,0
0.223992,0,0,0,0,0,0,0,0
0.225364,0,0,0,0,0,0,0,0
0.226812,0,0,0,0,0,0,0,0
0.228222,0,0,0,0,0,0,0,0
0.229596,0,0,0,0,0,0,0,0
0.230968,0,0,0,0,0,0,0,0
0.232319,0,0,0,0,0,0,0,0
0.233981,0,0,0,0,0,0,0,0
0.235463,0,0,0,0,0,0,0,0
0.236890,0,0,0,0,0,0,0,0
0.238383,0,0,0,0,0,0,0,0
0.239993,0,0,0,0,0,0,0,0
0.243184,0,0,0,0,0,0,0,0
0.244746,0,0,0,0,0,0,0,0
0.246225,0,0,0,0,0,0,0,0
0.247757,0,0,0,0,0,0,0,0
0.249184,0,0,0,0,0,0,0,0
0.250604,0,0,0,0,0,0,0,0
0.251991,0,0,0,0,0,0,0,0
0.253343,0,0,0,0,0,0,0,0
0.254706,0,0,0,0,0,0,0,0
0.256087,0,0,0,0,0,0,0,0
0.257578,0,0,0,0,0,0,0,0
0.259111,0,0,0,0,0,0,0,0
0.260692,0,0,0,0,0,0,0,0
0.262188,0,0,0,0,0,0,0,0
0.264299,0,0,0,0,0,0,0,0
0.266251,0,0,0,0,0,0,0,0
0.267714,0,0,0,0,0,0,0,0
0.269115,0,0,0,0,0,0,0,0
0.270505,0,0,0,0,0,0,0,0
0.272024,0,0,0,0,0,0,0,0
0.273430,0,0,0,0,0,0,0,0
0.274859,0,0,0,0,0,0,0,0
0.276224,0,0,0,0,0,0,0,0
0.277624,0,0,0,0,0,0,0,0
0.279014,0,0,0,0,0,0,0,0
0.280395,0,0,0,0,0,0,0,0
0.281879,0,0,0,0,0,0,0,0
0.283339,0,0,0,0,0,0,0,0
0.284759,0,0,0,0,0,0,0,0
0.286188,0,0,0,0,0,0,0,0
0.287969,0,0,0,0,0,0,0,0
0.289358,0,0,0,0,0,0,0,0
0.290816,0,0,0,0,0,0,0,0
0.292275,0,0,0,0,0,0,0,0
0.293770,0,0,0,0,0,0,0,0
0.295195,0,0,0,0,0,0,0,0
0.296600,0,0,0,0,0,0,0,0
0.298024,0,0,0,0,0,0,0,0
0.299439,0,0,0,0,0,0,0,0
0.300875,0,0,0,0,0,0,0,0
