elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.589701,0,0,0,0,0,0,0,0,0,0,0,0
0.591131,0,0,0,0,0,0,0,0,0,0,0,0
0.592684,0,0,0,0,0,0,0,0,0,0,0,0
0.594192,0,0,0,0,0,0,0,0,0,0,0,0
0.595709,0,0,0,0,0,0,0,0,0,0,0,0
0.597149,0,0,0,0,0,0,0,0,0,0,0,0
0.598583,0,0,0,0,0,0,0,0,0,0,0,0
0.600012,0,0,0,0,0,0,0,0,0,0,0,0
0.601441,0,0,0,0,0,0,0,0,0,0,0,0
0.603058,0,0,0,0,0,0,0,0,0,0,0,0
0.604709,0,0,0,0,0,0,0,0,0,0,0,0
0.606302,0,0,0,0,0,0,0,0,0,0,0,0
0.608212,0,0,0,0,0,0,0,0,0,0,0,0
0.609655,0,0,0,0,0,0,0,0,0,0,0,0
0.611111,0,0,0,0,0,0,0,0,0,0,0,0
0.612536,0,0,0,0,0,0,0,0,0,0,0,0
0.613958,0,0,0,0,0,0,0,0,0,0,0,0
0.615389,0,0,0,0,0,0,0,0,0,0,0,0
0.616812,0,0,0,0,0,0,0,0,0,0,0,0
0.618234,0,0,0,0,0,0,0,0,0,0,0,0
0.619846,0,0,0,0,0,0,0,0,0,0,0,0
0.621312,0,0,0,0,0,0,0,0,0,0,0,0
0.622733,0,0,0,0,0,0,0,0,0,0,0,0
0.624155,0,0,0,0,0,0,0,0,0,0,0,0
0.625583,0,0,0,0,0,0,0,0,0,0,0,0
0.627004,0,0,0,0,0,0,0,0,0,0,0,0
0.628425,0,0,0,0,0,0,0,0,0,0,0,0
0.629844,0,0,0,0,0,0,0,0,0,0,0,0
0.631266,0,0,0,0,0,0,0,0,0,0,0,0
0.632691,0,0,0,0,0,0,0,0,0,0,0,0
0.634112,0,0,0,0,0,0,0,0,0,0,0,0
0.635560,0,0,0,0,0,0,0,0,0,0,0,0
0.637008,0,0,0,0,0,0,0,0,0,0,0,0
0.638365,0,0,0,0,0,0,0,0,0,0,0,0
