elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.655625,0,0,0,0
0.657173,0,0,0,0
0.658725,0,0,0,0
0.660275,0,0,0,0
0.661823,0,0,0,0
0.663373,0,0,0,0
0.664936,0,0,0,0
0.666487,0,0,0,0
0.668038,0,0,0,0
0.669587,0,0,0,0
0.671179,0,0,0,0
0.672730,0,0,0,0
0.674361,0,0,0,0
0.675857,0,0,0,0
0.677250,0,0,0,0
0.678769,0,0,0,0
0.680316,0,0,0,0
0.681865,0,0,0,0
0.683413,0,0,0,0
0.684963,0,0,0,0
0.686405,0,0,0,0
0.687970,0,0,0,0
0.689518,0,0,0,0
0.691069,0,0,0,0
0.692620,0,0,0,0
0.694167,0,0,0,0
0.695721,0,0,0,0
0.697282,0,0,0,0
0.698834,0,0,0,0
0.700384,0,0,0,0
0.701932,0,0,0,0
0.703544,0,0,0,0
0.705093,0,0,0,0
0.706644,0,0,0,0
0.708208,0,0,0,0
0.709756,0,0,0,0
0.711305,0,0,0,0
0.712855,0,0,0,0
0.714406,0,0,0,0
0.715956,0,0,0,0
0.717505,0,0,0,0
0.719111,0,0,0,0
0.720652,0,0,0,0
0.722190,0,0,0,0
0.723646,0,0,0,0
0.725161,0,0,0,0
0.726747,0,0,0,0
0.728295,0,0,0,0
0.729852,0,0,0,0
0.731402,0,0,0,0
0.732949,0,0,0,0
0.734498,0,0,0,0
0.736091,0,0,0,0
0.737638,0,0,0,0
0.739185,0,0,0,0
0.740747,0,0,0,0
0.742296,0,0,0,0
0.743844,0,0,0,0
0.745389,0,0,0,0
0.746938,0,0,0,0
0.748486,0,0,0,0
0.750031,0,0,0,0
0.751596,0,0,0,0
0.753143,0,0,0,0
0.754691,0,0,0,0
0.756239,0,0,0,0
0.757784,0,0,0,0
0.759333,0,0,0,0
0.760882,0,0,0,0
0.762477,0,0,0,0
0.764045,0,0,0,0
0.765439,0,0,0,0
0.766874,0,0,0,0
0.768262,0,0,0,0
0.769648,0,0,0,0
0.771036,0,0,0,0
0.772433,0,0,0,0
0.773944,0,0,0,0
0.775547,0,0,0,0
0.777096,0,0,0,0
0.778647,0,0,0,0
0.780078,0,0,0,0
0.781448,0,0,0,0
0.782862,0,0,0,0
0.784295,0,0,0,0
0.785718,0,0,0,0
0.787107,0,0,0,0
0.788500,0,0,0,0
