elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
1.553002,0,0,0,0
1.554567,0,0,0,0
1.555994,0,0,0,0
1.557514,0,0,0,0
1.559069,0,0,0,0
1.560666,0,0,0,0
1.562217,0,0,0,0
1.563771,0,0,0,0
1.565216,0,0,0,0
1.566776,0,0,0,0
1.568373,0,0,0,0
1.569964,0,0,0,0
1.571557,0,0,0,0
1.573149,0,0,0,0
1.574739,0,0,0,0
1.576361,0,0,0,0
1.577952,0,0,0,0
1.579546,0,0,0,0
1.581139,0,0,0,0
1.582730,0,0,0,0
1.584326,0,0,0,0
1.585917,0,0,0,0
