elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.708156,0,0,0,0,0,0,0,4495515
0.709608,0,0,0,0,0,0,0,4608537
0.711009,0,0,0,0,0,0,0,4400799
0.712597,0,0,0,0,0,0,0,4970106
0.713903,0,0,0,0,0,0,0,4064424
0.715185,0,0,0,0,0,0,0,4023513
0.716461,0,0,0,0,0,0,0,4019871
0.717735,0,0,0,0,0,0,0,4011495
0.719049,0,0,0,0,0,0,0,4145370
0.720328,0,0,0,0,0,0,0,4031367
0.721617,0,0,0,0,0,0,0,4060254
0.722898,0,0,0,0,0,0,0,4032633
0.724175,0,0,0,0,0,0,0,4021011
0.725452,0,0,0,0,0,0,0,4021446
0.726764,0,0,0,0,0,0,0,4135194
0.728041,0,0,0,0,0,0,0,4020783
0.729317,0,0,0,0,0,0,0,4021419
0.730596,0,0,0,0,0,0,0,4025286
0.731882,0,0,0,0,0,0,0,4055178
0.733159,0,0,0,0,0,0,0,4018179
0.734435,0,0,0,0,0,0,0,4022538
0.735746,0,0,0,0,0,0,0,4129245
0.737023,0,0,0,0,0,0,0,4022304
0.738301,0,0,0,0,0,0,0,4026039
0.739578,0,0,0,0,0,0,0,4022253
0.740854,0,0,0,0,0,0,0,4021374
0.742198,0,0,0,0,0,0,0,4297515
0.743573,0,0,0,0,0,0,0,4293321
0.744862,0,0,0,0,0,0,0,4037259
0.746141,0,0,0,0,0,0,0,4350486
0.747625,0,0,0,0,0,0,0,8411055
0.750402,0,0,0,0,0,0,0,5767851
0.752166,0,0,0,0,0,0,0,4598112
0.753535,0,0,0,0,0,0,0,4371828
0.754901,0,0,0,0,0,0,0,4169637
0.756230,0,0,0,0,0,0,0,4245657
0.758007,0,0,0,0,0,0,0,5648196
0.760926,0,0,0,0,0,0,0,9061368
0.762219,0,0,0,0,0,0,0,4128990
0.763600,0,0,0,0,0,0,0,4265637
0.764874,0,0,0,0,0,0,0,3990042
0.766134,0,0,0,0,0,0,0,4137006
0.767482,0,0,0,0,0,0,0,4066596
0.768736,0,0,0,0,0,0,0,3948222
0.769989,0,0,0,0,0,0,0,3948003
0.771245,0,0,0,0,0,0,0,3955260
0.772503,0,0,0,0,0,0,0,3969753
0.773774,0,0,0,0,0,0,0,3995289
0.775075,0,0,0,0,0,0,0,4133178
0.776354,0,0,0,0,0,0,0,4040154
0.777633,0,0,0,0,0,0,0,4014072
0.778909,0,0,0,0,0,0,0,4028130
0.780193,0,0,0,0,0,0,0,4053837
0.781475,0,0,0,0,0,0,0,4026672
0.782788,0,0,0,0,0,0,0,4137495
0.784076,0,0,0,0,0,0,0,4056039
0.785352,0,0,0,0,0,0,0,4019529
0.786630,0,0,0,0,0,0,0,4026075
0.787907,0,0,0,0,0,0,0,4022325
0.789184,0,0,0,0,0,0,0,4020249
0.790462,0,0,0,0,0,0,0,4026330
0.791739,0,0,0,0,0,0,0,4024347
0.793015,0,0,0,0,0,0,0,4018893
0.794302,0,0,0,0,0,0,0,4048680
0.795575,0,0,0,0,0,0,0,4006620
0.796846,0,0,0,0,0,0,0,4004007
0.798117,0,0,0,0,0,0,0,4761360
0.799678,0,0,0,0,0,0,0,4346202
0.801018,0,0,0,0,0,0,0,4044825
0.802297,0,0,0,0,0,0,0,4028721
0.803575,0,0,0,0,0,0,0,4026450
0.804861,0,0,0,0,0,0,0,4048593
