elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.260523,0,0,0,0,0,0,0,0
0.261947,0,0,0,0,0,0,0,0
0.263372,0,0,0,0,0,0,0,0
0.264797,0,0,0,0,0,0,0,0
0.266228,0,0,0,0,0,0,0,0
0.267504,0,0,0,0,0,0,0,0
0.268881,0,0,0,0,0,0,0,0
0.270274,0,0,0,0,0,0,0,0
0.271649,0,0,0,0,0,0,0,0
0.273075,0,0,0,0,0,0,0,0
0.274451,0,0,0,0,0,0,0,0
0.275877,0,0,0,0,0,0,0,0
0.277309,0,0,0,0,0,0,0,0
0.278470,0,0,0,0,0,0,0,0
0.279846,0,0,0,0,0,0,0,0
0.281229,0,0,0,0,0,0,0,0
0.282605,0,0,0,0,0,0,0,0
0.283981,0,0,0,0,0,0,0,0
0.285299,0,0,0,0,0,0,0,0
0.286689,0,0,0,0,0,0,0,0
0.288063,0,0,0,0,0,0,0,0
0.289461,0,0,0,0,0,0,0,0
0.290821,0,0,0,0,0,0,0,0
0.292194,0,3,0,0,0,0,0,0
0.293462,0,9,0,0,0,0,0,0
0.294826,0,0,0,0,0,0,0,0
0.296188,0,0,0,0,0,0,0,0
0.297553,0,0,0,0,0,0,0,0
0.298918,0,0,0,0,0,0,0,0
0.300280,0,0,0,0,0,0,0,0
0.301641,0,0,0,0,0,0,0,0
0.303088,0,0,0,0,0,0,0,0
0.304513,0,0,0,0,0,0,0,0
0.305952,0,0,0,0,0,0,0,0
0.307355,0,0,0,0,0,0,0,0
0.308762,0,0,0,0,0,0,0,0
0.310636,0,0,0,0,0,0,0,0
0.312780,0,0,0,0,0,0,0,0
0.314202,0,0,0,0,0,0,0,0
0.315614,0,0,0,0,0,0,0,0
0.317012,0,0,0,0,0,0,0,0
0.318412,0,0,0,0,0,0,0,0
0.319811,0,0,0,0,0,0,0,0
0.321220,0,0,0,0,0,0,0,0
0.322630,0,0,0,0,0,0,0,0
0.324039,0,0,0,0,0,0,0,0
0.325460,0,0,0,0,0,0,0,0
0.326862,0,0,0,0,0,0,0,0
0.328264,0,0,0,0,0,0,0,0
0.329666,0,0,0,0,0,0,0,0
0.331066,0,0,0,0,0,0,0,0
0.332594,0,0,0,0,0,0,0,0
0.334280,0,0,0,0,0,0,0,0
0.335866,0,0,0,0,0,0,0,0
0.337443,0,0,0,0,0,0,0,0
0.339007,0,0,0,0,0,0,0,0
0.340570,0,0,0,0,0,0,0,0
0.342165,0,0,0,0,0,0,0,0
0.343727,0,0,0,0,0,0,0,0
0.345169,0,0,0,0,0,0,0,0
0.346724,0,0,0,0,0,0,0,0
0.348297,0,0,0,0,0,0,0,0
0.349937,0,0,0,0,0,0,0,0
0.351555,0,0,0,0,0,0,0,0
0.353131,0,0,0,0,0,0,0,0
0.354705,0,0,0,0,0,0,0,0
0.356278,0,0,0,0,0,0,0,0
0.357912,0,0,0,0,0,0,0,0
0.359476,0,0,0,0,0,0,0,0
0.360957,0,0,0,0,0,0,0,0
0.362500,0,0,0,0,0,0,0,0
0.364071,0,0,0,0,0,0,0,0
0.365644,0,0,0,0,0,0,0,0
0.367218,0,0,0,0,0,0,0,0
0.368806,0,0,0,0,0,0,0,0
0.370379,0,0,0,0,0,0,0,0
0.371949,0,0,0,0,0,0,0,0
0.373523,0,0,0,0,0,0,0,0
0.375096,0,0,0,0,0,0,0,0
0.376759,0,0,0,0,0,0,0,0
0.378196,0,0,0,0,0,0,0,0
0.379618,0,0,0,0,0,0,0,0
0.381160,0,0,0,0,0,0,0,0
0.382776,0,0,0,0,0,0,0,0
0.384347,0,0,0,0,0,0,0,0
0.385973,0,0,0,0,0,0,0,0
0.387545,0,0,0,0,0,0,0,0
0.389119,0,0,0,0,0,0,0,0
0.390705,0,0,0,0,0,0,0,0
0.392276,0,0,0,0,0,0,0,0
0.393849,0,0,0,0,0,0,0,0
0.395421,0,0,0,0,0,0,0,0
0.396996,0,0,0,0,0,0,0,0
0.398612,0,0,0,0,0,0,0,0
0.400184,0,0,0,0,0,0,0,0
0.401770,0,0,0,0,0,0,0,0
0.403342,0,0,0,0,0,0,0,0
0.404917,0,0,0,0,0,0,0,0
0.406392,0,0,0,0,0,0,0,0
0.407796,0,0,0,0,0,0,0,0
0.409206,0,0,0,0,0,0,0,0
0.410568,0,0,0,0,0,0,0,0
0.411937,0,0,0,0,0,0,0,0
0.413297,0,0,0,0,0,0,0,0
0.414699,0,0,0,0,0,0,0,0
