elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.441392,0,0,0,0
0.442940,0,0,0,0
0.444502,0,0,0,0
0.446097,0,0,0,0
0.447645,0,0,0,0
0.449193,0,0,0,0
0.450746,0,0,0,0
0.452294,0,0,0,0
0.453888,0,0,0,0
0.455451,0,0,0,0
0.456998,0,0,0,0
0.458551,0,0,0,0
0.460099,0,0,0,0
0.461802,0,0,0,0
0.463311,0,0,0,0
0.464705,0,0,0,0
0.466236,0,0,0,0
0.467667,0,0,0,0
0.469192,0,0,0,0
0.470750,0,0,0,0
0.472299,0,0,0,0
0.473852,0,0,0,0
0.475403,0,0,0,0
0.476843,0,0,0,0
0.478409,0,0,0,0
0.479961,0,0,0,0
0.481512,0,0,0,0
0.483064,0,0,0,0
0.484613,0,0,0,0
0.486209,0,0,0,0
0.487774,0,0,0,0
0.489327,0,0,0,0
0.490880,0,0,0,0
0.492430,0,0,0,0
0.494027,0,0,0,0
0.495578,0,0,0,0
0.497128,0,0,0,0
0.498698,0,0,0,0
0.500247,0,0,0,0
0.501844,0,0,0,0
0.503396,0,0,0,0
0.504946,0,0,0,0
0.506569,0,0,0,0
0.508035,0,0,0,0
0.509468,0,0,0,0
0.511063,0,0,0,0
0.512649,0,0,0,0
0.514443,0,0,0,0
0.515993,0,0,0,0
0.517544,0,0,0,0
0.519137,0,0,0,0
0.520698,0,0,0,0
0.522247,0,0,0,0
0.523794,0,0,0,0
0.525221,0,0,0,0
0.526750,0,0,0,0
0.528299,0,0,0,0
0.529850,0,0,0,0
0.531415,0,0,0,0
0.532964,0,0,0,0
0.534608,0,0,0,0
0.536148,0,0,0,0
0.537569,0,0,0,0
0.539090,0,0,0,0
0.540639,0,0,0,0
0.542246,0,0,0,0
0.543798,0,0,0,0
0.545351,0,0,0,0
0.546962,0,0,0,0
0.548514,0,0,0,0
0.549965,0,0,0,0
0.551482,0,0,0,0
0.553045,0,0,0,0
0.554601,0,0,0,0
0.556150,0,0,0,0
0.557746,0,0,0,0
0.559296,0,0,0,0
0.560844,0,0,0,0
0.562396,0,0,0,0
0.563961,0,0,0,0
0.565513,0,0,0,0
0.567107,0,0,0,0
0.568657,0,0,0,0
0.570207,0,0,0,0
0.571759,0,0,0,0
0.573312,0,0,0,0
0.574936,0,0,0,0
0.576485,0,0,0,0
0.578038,0,0,0,0
0.579589,0,0,0,0
0.581139,0,0,0,0
0.582695,0,0,0,0
0.584245,0,0,0,0
0.585812,0,0,0,0
0.587588,0,0,0,0
0.589159,0,0,0,0
0.590716,0,0,0,0
0.592266,0,0,0,0
0.593818,0,0,0,0
