elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.750951,0,0,0,0,0,0
0.752519,0,0,0,0,0,0
0.754073,0,0,0,0,0,0
0.755638,0,0,0,0,0,0
0.757199,0,0,0,0,0,0
0.758763,0,0,0,0,0,0
0.760326,0,0,0,0,0,0
0.761954,0,0,0,0,0,0
0.763634,0,0,0,0,0,0
0.765196,0,0,0,0,0,0
0.766759,0,0,0,0,0,0
0.768322,0,0,0,0,0,0
0.769884,0,0,0,0,0,0
0.771499,0,0,0,0,0,0
0.773061,0,0,0,0,0,0
0.774637,0,0,0,0,0,0
0.776199,0,0,0,0,0,0
0.777760,0,0,0,0,0,0
0.779328,0,0,0,0,0,0
0.780890,0,0,0,0,0,0
0.782454,0,0,0,0,0,0
0.784018,0,0,0,0,0,0
0.785592,0,0,0,0,0,0
0.787117,0,0,0,0,0,0
0.788648,0,0,0,0,0,0
0.790213,0,0,0,0,0,0
0.791775,0,0,0,0,0,0
0.793336,0,0,0,0,0,0
0.794942,0,0,0,0,0,0
0.796518,0,0,0,0,0,0
0.798082,0,0,0,0,0,0
0.799644,0,0,0,0,0,0
0.801206,0,0,0,0,0,0
0.802769,0,0,0,0,0,0
0.804331,0,0,0,0,0,0
0.805959,0,0,0,0,0,0
0.807340,0,0,0,0,0,0
0.808743,0,0,0,0,0,0
0.810274,0,0,0,0,0,0
0.811838,0,0,0,0,0,0
0.813399,0,0,0,0,0,0
0.814962,0,0,0,0,0,0
0.816526,0,0,0,0,0,0
0.818102,0,0,0,0,0,0
0.819663,0,0,0,0,0,0
0.821223,0,0,0,0,0,0
0.822785,0,0,0,0,0,0
0.824347,0,0,0,0,0,0
0.825988,0,0,0,0,0,0
0.827395,0,0,0,0,0,0
0.828806,0,0,0,0,0,0
0.830335,0,0,0,0,0,0
0.831896,0,0,0,0,0,0
0.833456,0,0,0,0,0,0
0.835017,0,0,0,0,0,0
0.836578,0,0,0,0,0,0
0.838142,0,0,0,0,0,0
0.839715,0,0,0,0,0,0
0.841275,0,0,0,0,0,0
0.842879,0,0,0,0,0,0
0.844440,0,0,0,0,0,0
0.846003,0,0,0,0,0,0
0.847565,0,0,0,0,0,0
0.849124,0,0,0,0,0,0
0.850699,0,0,0,0,0,0
0.852260,0,0,0,0,0,0
0.853819,0,0,0,0,0,0
0.855385,0,0,0,0,0,0
0.856945,0,0,0,0,0,0
0.858551,0,0,0,0,0,0
0.860114,0,0,0,0,0,0
0.861687,0,0,0,0,0,0
0.863252,0,0,0,0,0,0
0.864812,0,0,0,0,0,0
0.866375,0,0,0,0,0,0
0.867937,0,0,0,0,0,0
0.869497,0,0,0,0,0,0
0.871058,0,0,0,0,0,0
0.872632,0,0,0,0,0,0
0.874195,0,0,0,0,0,0
0.875802,0,0,0,0,0,0
0.877362,0,0,0,0,0,0
0.878962,0,0,0,0,0,0
0.880523,0,0,0,0,0,0
0.882087,0,0,0,0,0,0
0.883662,0,0,0,0,0,0
0.885222,0,0,0,0,0,0
0.886784,0,0,0,0,0,0
0.888345,0,0,0,0,0,0
0.889986,0,0,0,0,0,0
0.891399,0,0,0,0,0,0
0.892932,0,0,0,0,0,0
