elapsed_s,RAS_NEVER_COUNT,RAS_BUSY_CYCLES,RAS_SUPERTILE_ACTIVE_CYCLES,RAS_STALL_CYCLES_LRZ
1.533660,0,0,0,0
1.535211,0,0,0,0
1.536768,0,0,0,0
1.538319,0,0,0,0
1.539873,0,0,0,0
1.541439,0,0,0,0
1.542990,0,0,0,0
1.544590,0,0,0,0
1.546143,0,0,0,0
1.547698,0,0,0,0
1.549252,0,0,0,0
1.550803,0,0,0,0
1.552370,0,0,0,0
1.553923,0,0,0,0
1.555478,0,0,0,0
1.557030,0,0,0,0
1.558581,0,0,0,0
1.560138,0,0,0,0
1.561691,0,0,0,0
1.563257,0,0,0,0
1.564641,0,0,0,0
1.566162,0,0,0,0
1.567716,0,0,0,0
1.569267,0,0,0,0
1.570694,0,0,0,0
1.572228,0,0,0,0
1.573796,0,0,0,0
1.575393,0,0,0,0
1.577000,0,0,0,0
1.578553,0,0,0,0
