elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.251684,0,0,0,0
0.253224,0,0,0,0
0.254697,0,0,0,0
0.256089,0,0,0,0
0.257480,0,0,0,0
0.258908,0,0,0,0
0.260305,0,0,0,0
0.261692,0,0,0,0
0.263077,0,0,0,0
0.264588,0,0,0,0
0.266179,0,0,0,0
0.267606,0,0,0,0
0.269128,0,0,0,0
0.270695,0,0,0,0
0.272242,0,0,0,0
0.273834,0,0,0,0
0.275394,0,0,0,0
0.276946,0,0,0,0
0.278555,0,0,0,0
0.280227,0,0,0,0
0.281812,0,0,0,0
0.283364,0,0,0,0
0.284911,0,0,0,0
0.286333,0,0,0,0
0.287853,0,0,0,0
0.289404,0,0,0,0
0.290999,0,0,0,0
0.292562,0,0,0,0
0.294114,0,0,0,0
0.295664,0,0,0,0
0.297212,0,0,0,0
0.298765,0,0,0,0
0.300313,0,0,0,0
0.301864,0,0,0,0
0.303429,0,0,0,0
0.304977,0,0,0,0
0.306510,0,0,0,0
0.307989,0,0,0,0
0.309383,0,0,0,0
0.310769,0,0,0,0
0.312186,0,0,0,0
0.313634,0,0,0,0
0.315278,0,0,0,0
0.316683,0,0,0,0
0.318140,0,0,0,0
0.319632,0,0,0,0
0.321028,0,0,0,0
0.322556,0,0,0,0
0.323948,0,0,0,0
0.325355,0,0,0,0
0.326743,0,0,0,0
0.328130,0,0,0,0
0.329518,0,0,0,0
0.330934,0,0,0,0
0.332314,0,0,0,0
0.333696,0,0,0,0
0.335279,0,0,0,0
0.336828,0,0,0,0
0.338421,0,0,0,0
0.339973,0,0,0,0
0.341524,0,0,0,0
0.343074,0,0,0,0
0.344622,0,0,0,0
0.346061,0,0,0,0
0.347582,0,0,0,0
0.349130,0,0,0,0
0.350685,0,0,0,0
0.352233,0,0,0,0
0.353828,0,0,0,0
0.355378,0,0,0,0
0.356941,0,0,0,0
0.358557,0,0,0,0
0.360106,0,0,0,0
0.361657,0,0,0,0
0.363256,0,0,0,0
0.364805,0,0,0,0
0.366355,0,0,0,0
0.367911,0,0,0,0
0.369535,0,0,0,0
0.371128,0,0,0,0
0.372676,0,0,0,0
0.374227,0,0,0,0
0.375776,0,0,0,0
0.377328,0,0,0,0
0.378933,0,0,0,0
0.380482,0,0,0,0
0.382033,0,0,0,0
0.383580,0,0,0,0
0.385127,0,0,0,0
0.386682,0,0,0,0
0.388229,0,0,0,0
0.389795,0,0,0,0
0.391344,0,0,0,0
0.392892,0,0,0,0
0.394485,0,0,0,0
0.396034,0,0,0,0
0.397615,0,0,0,0
0.399004,0,0,0,0
0.400407,0,0,0,0
0.401970,0,0,0,0
0.403521,0,0,0,0
0.405069,0,0,0,0
0.406621,0,0,0,0
0.408168,0,0,0,0
0.409763,0,0,0,0
0.411328,0,0,0,0
0.412877,0,0,0,0
0.414427,0,0,0,0
0.415976,0,0,0,0
0.417527,0,0,0,0
0.419123,0,0,0,0
0.420672,0,0,0,0
0.422235,0,0,0,0
0.423786,0,0,0,0
0.425337,0,0,0,0
0.426886,0,0,0,0
0.428435,0,0,0,0
0.429986,0,0,0,0
0.431536,0,0,0,0
