elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.904148,0,0,0,0,0,0,0,0
0.905565,0,0,0,0,0,0,0,0
0.907017,0,0,0,0,0,0,0,0
0.908425,0,0,0,0,0,0,0,0
0.909843,0,0,0,0,0,0,0,0
0.911251,0,0,0,0,0,0,0,0
0.912658,0,0,0,0,0,0,0,0
0.914192,0,0,0,0,0,0,0,0
0.915681,0,0,0,0,0,0,0,0
0.917223,0,0,0,0,0,0,0,0
0.918792,0,0,0,0,0,0,0,0
0.920382,0,0,0,0,0,0,0,0
0.921951,0,0,0,0,0,0,0,0
0.923565,0,0,0,0,0,0,0,0
0.925136,0,0,0,0,0,0,0,0
