elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.825012,0,0,0,0,0,0
0.826378,0,0,0,0,0,0
0.827787,0,0,0,0,0,0
0.829136,0,0,0,0,0,0
0.830486,0,0,0,0,0,0
0.831837,0,0,0,0,0,0
0.833186,0,0,0,0,0,0
0.834533,0,0,0,0,0,0
0.835880,0,0,0,0,0,0
0.837228,0,0,0,0,0,0
0.838582,0,0,0,0,0,0
0.839930,0,0,0,0,0,0
0.841277,0,0,0,0,0,0
0.842695,0,0,0,0,0,0
0.844074,0,0,0,0,0,0
0.845493,0,0,0,0,0,0
0.846803,0,0,0,0,0,0
0.848221,0,0,0,0,0,0
0.849642,0,0,0,0,0,0
0.851059,0,0,0,0,0,0
0.852483,0,0,0,0,0,0
0.853861,0,0,0,0,0,0
0.855242,0,0,0,0,0,0
0.856626,0,0,0,0,0,0
0.857994,0,0,0,0,0,0
0.859287,0,0,0,0,0,0
0.860680,0,0,0,0,0,0
0.862052,0,0,0,0,0,0
0.863398,0,0,0,0,0,0
0.864741,0,0,0,0,0,0
0.866189,0,0,0,0,0,0
0.867562,0,0,0,6,149,146
0.869015,0,0,0,0,0,0
0.870369,0,0,0,0,0,0
0.871735,0,0,0,0,0,0
0.873083,0,0,0,0,0,0
0.874620,0,0,0,0,0,0
0.876052,0,0,0,0,0,0
0.877477,0,0,0,0,0,0
0.878894,0,0,0,42,907,933
0.880307,0,0,0,0,0,0
0.881750,0,0,0,0,0,0
0.883171,0,0,0,0,0,0
0.884575,0,0,0,0,0,0
0.885977,0,0,0,0,0,0
0.887410,0,0,0,0,0,0
0.888805,0,0,0,0,0,0
0.891118,0,0,0,0,0,0
0.892557,0,0,0,0,0,0
0.893963,0,0,0,0,0,0
0.895374,0,0,0,0,0,0
0.896765,0,0,0,0,0,0
0.898197,0,0,0,0,0,0
0.899609,0,0,0,0,0,0
0.900996,0,0,0,0,0,0
0.902383,0,0,0,0,0,0
0.903796,0,0,0,0,0,0
0.905196,0,0,0,0,0,0
0.906590,0,0,0,0,0,0
0.908038,0,0,0,0,0,0
0.909436,0,0,0,0,0,0
0.910832,0,0,0,0,0,0
0.912350,0,0,0,0,0,0
0.913901,0,0,0,0,0,0
0.915416,0,0,0,0,0,0
0.916814,0,0,0,0,0,0
0.918224,0,0,0,0,0,0
0.919625,0,0,0,0,0,0
0.921022,0,0,0,0,0,0
0.922421,0,0,0,0,0,0
0.923860,0,0,0,0,0,0
0.925386,0,0,0,0,0,0
0.926962,0,0,0,0,0,0
0.928525,0,0,0,0,0,0
0.930086,0,0,0,0,0,0
0.931669,0,0,0,0,0,0
0.933229,0,0,0,0,0,0
0.934794,0,0,0,0,0,0
0.936358,0,0,0,0,0,0
0.937806,0,0,0,0,0,0
0.939403,0,0,0,0,0,0
0.941008,0,0,0,0,0,0
0.942573,0,0,0,0,0,0
0.944135,0,0,0,0,0,0
0.945697,0,0,0,0,0,0
0.947259,0,0,0,0,0,0
0.948835,0,0,0,0,0,0
0.950397,0,0,0,0,0,0
0.951958,0,0,0,0,0,0
0.953516,0,0,0,0,0,0
0.955077,0,0,0,0,0,0
0.956638,0,0,0,0,0,0
0.958200,0,0,0,0,0,0
0.959776,0,0,0,0,0,0
0.961336,0,0,0,0,0,0
0.963258,0,0,0,0,0,0
0.964766,0,0,0,0,0,0
0.966190,0,0,0,0,0,0
0.967698,0,0,0,0,0,0
0.969144,0,0,0,0,0,0
0.970553,0,0,0,0,0,0
0.972678,0,0,0,0,0,0
0.974312,0,0,0,0,0,0
0.975822,0,0,0,0,0,0
0.977395,0,0,0,0,0,0
0.978799,0,0,0,0,0,0
0.980194,0,0,0,0,0,0
0.981596,0,0,0,0,0,0
0.982989,0,0,0,0,0,0
0.984380,0,0,0,0,0,0
0.985769,0,0,0,0,0,0
0.987290,0,0,0,0,0,0
0.988850,0,0,0,0,0,0
0.990413,0,0,0,0,0,0
0.991989,0,0,0,0,0,0
0.993548,0,0,0,0,0,0
0.995109,0,0,0,0,0,0
0.996671,0,0,0,0,0,0
0.998235,0,0,0,0,0,0
0.999797,0,0,0,0,0,0
1.001357,0,0,0,0,0,0
1.002932,0,0,0,0,0,0
1.004495,0,0,0,0,0,0
1.006054,0,0,0,0,0,0
1.007618,0,0,0,0,0,0
1.009178,0,0,0,0,0,0
1.010741,0,0,0,0,0,0
1.012302,0,0,0,0,0,0
1.013876,0,0,0,0,0,0
1.015442,0,0,0,0,0,0
1.017001,0,0,0,0,0,0
1.018565,0,0,0,0,0,0
1.020170,0,0,0,0,0,0
1.021730,0,0,0,0,0,0
1.023291,0,0,0,0,0,0
1.024867,0,0,0,0,0,0
1.026430,0,0,0,0,0,0
1.027993,0,0,0,0,0,0
1.029553,0,0,0,0,0,0
1.030988,0,0,0,0,0,0
1.032523,0,0,0,0,0,0
1.034082,0,0,0,0,0,0
1.035703,0,0,0,0,0,0
1.037261,0,0,0,0,0,0
1.038825,0,0,0,0,0,0
1.040385,0,0,0,0,0,0
1.041945,0,0,0,0,0,0
1.043559,0,0,0,0,0,0
1.045117,0,0,0,0,0,0
1.046693,0,0,0,0,0,0
