elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.538548,0,0,0,0,0,0,0,0,0,0,0,0
0.540027,0,0,0,0,0,0,0,0,0,0,0,0
0.541593,0,0,0,0,0,0,0,0,0,0,0,0
0.543186,0,0,0,0,0,0,0,0,0,0,0,0
0.545485,0,0,0,0,0,0,0,0,0,0,0,0
0.547046,0,0,0,0,0,0,0,0,0,0,0,0
0.548524,0,0,0,0,0,0,0,0,0,0,0,0
0.550047,0,0,0,0,0,0,0,0,0,0,0,0
0.551706,0,0,0,0,0,0,0,0,0,0,0,0
0.553138,0,0,0,0,0,0,0,0,0,0,0,0
0.554566,0,0,0,0,0,0,0,0,0,0,0,0
0.556034,0,0,0,0,0,0,0,0,0,0,0,0
0.557466,0,0,0,0,0,0,0,0,0,0,0,0
0.558894,0,0,0,0,0,0,0,0,0,0,0,0
0.560319,0,0,0,0,0,0,0,0,0,0,0,0
0.561813,0,0,0,0,0,0,0,0,0,0,0,0
0.563241,0,0,0,0,0,0,0,0,0,0,0,0
0.564704,0,0,0,0,0,0,0,0,0,0,0,0
0.566133,0,0,0,0,0,0,0,0,0,0,0,0
0.567560,0,0,0,0,0,0,0,0,0,0,0,0
0.568989,0,0,0,0,0,0,0,0,0,0,0,0
0.570546,0,0,0,0,0,0,0,0,0,0,0,0
0.572149,0,0,0,0,0,0,0,0,0,0,0,0
0.573743,0,0,0,0,0,0,0,0,0,0,0,0
0.575336,0,0,0,0,0,0,0,0,0,0,0,0
0.576931,0,0,0,0,0,0,0,0,0,0,0,0
0.578526,0,0,0,0,0,0,0,0,0,0,0,0
0.580160,0,0,0,0,0,0,0,0,0,0,0,0
0.581753,0,0,0,0,0,0,0,0,0,0,0,0
0.583360,0,0,0,0,0,0,0,0,0,0,0,0
0.585668,0,0,0,0,0,0,0,0,0,0,0,0
0.587140,0,0,0,0,0,0,0,0,0,0,0,0
0.588576,0,0,0,0,0,0,0,0,0,0,0,0
0.590038,0,0,0,0,0,0,0,0,0,0,0,0
0.591462,0,0,0,0,0,0,0,0,0,0,0,0
0.592884,0,0,0,0,0,0,0,0,0,0,0,0
0.594318,0,0,0,0,0,0,0,0,0,0,0,0
0.595782,0,0,0,0,0,0,0,0,0,0,0,0
0.597208,0,0,0,0,0,0,0,0,0,0,0,0
0.598679,0,0,0,0,0,0,0,0,0,0,0,0
0.600106,0,0,0,0,0,0,0,0,0,0,0,0
0.601527,0,0,0,0,0,0,0,0,0,0,0,0
0.602952,0,0,0,0,0,0,0,0,0,0,0,0
0.604384,0,0,0,0,0,0,0,0,0,0,0,0
0.605939,0,0,0,0,0,0,0,0,0,0,0,0
0.607359,0,0,0,0,0,0,0,0,0,0,0,0
0.608782,0,0,0,0,0,0,0,0,0,0,0,0
0.610208,0,0,0,0,0,0,0,0,0,0,0,0
0.611682,0,0,0,0,0,0,0,0,0,0,0,0
0.613077,0,0,0,0,0,0,0,0,0,0,0,0
0.614479,0,0,0,0,0,0,0,0,0,0,0,0
0.615888,0,0,0,0,0,0,0,0,0,0,0,0
0.617286,0,0,0,0,0,0,0,0,0,0,0,0
0.618678,0,0,0,0,0,0,0,0,0,0,0,0
0.620072,0,0,0,0,0,0,0,0,0,0,0,0
0.621465,0,0,0,0,0,0,0,0,0,0,0,0
0.622859,0,0,0,0,0,0,0,0,0,0,0,0
0.624251,0,0,0,0,0,0,0,0,0,0,0,0
0.625650,0,0,0,0,0,0,0,0,0,0,0,0
0.627045,0,0,0,0,0,0,0,0,0,0,0,0
0.628477,0,0,0,0,0,0,0,0,0,0,0,0
0.629832,0,0,0,0,0,0,0,0,0,0,0,0
0.631229,0,0,0,0,0,0,0,0,0,0,0,0
0.632621,0,0,0,0,0,0,0,0,0,0,0,0
0.634017,0,0,0,0,0,0,0,0,0,0,0,0
0.635409,0,0,0,0,0,0,0,0,0,0,0,0
0.636855,0,0,0,0,0,0,0,0,0,0,0,0
0.638248,0,0,0,0,0,0,0,0,0,0,0,0
0.639640,0,0,0,0,0,0,0,0,0,0,0,0
0.641032,0,0,0,0,0,0,0,0,0,0,0,0
0.642426,0,0,0,0,0,0,0,0,0,0,0,0
0.643885,0,0,0,0,0,0,0,0,0,0,0,0
0.645220,0,0,0,0,0,0,0,0,0,0,0,0
0.646613,0,0,0,0,0,0,0,0,0,0,0,0
0.647900,0,0,0,0,0,0,0,0,0,0,0,0
0.649341,0,0,0,0,0,0,0,0,0,0,0,0
0.650737,0,0,0,0,0,0,0,0,0,0,0,0
0.652125,0,0,0,0,0,0,0,0,0,0,0,0
