elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.286704,0,0,0,0,800871,0
0.288183,0,0,0,0,802218,0
0.289660,0,0,0,0,799833,0
0.291322,0,0,0,0,759522,0
0.292821,0,0,0,0,815166,0
0.294310,0,0,0,0,911082,0
0.295874,0,0,0,0,809868,0
0.297554,0,0,0,0,840393,0
0.299280,0,0,0,0,849372,0
0.301015,0,0,0,0,838707,0
0.302803,0,0,0,0,843027,0
0.304531,0,0,0,0,839184,0
0.306360,0,0,0,0,845388,0
0.308094,0,0,0,0,1019610,0
0.309740,0,0,0,0,815631,0
0.311495,0,0,0,0,836961,0
0.313221,0,0,0,0,838248,0
0.314765,0,0,0,0,820236,0
0.316287,0,0,0,0,810981,0
0.317970,0,0,0,0,846180,0
0.319707,0,0,0,0,846237,0
0.321437,0,0,0,0,841824,0
0.323165,0,0,0,0,853992,0
0.324896,0,0,0,0,828015,0
0.326694,0,0,0,0,829401,0
0.328529,0,0,0,0,704370,0
0.329964,0,0,0,0,806013,0
0.331453,0,0,0,0,847620,0
0.332958,0,0,0,0,807072,0
0.334442,0,0,0,0,913299,0
0.336017,0,0,0,0,836973,0
0.337543,0,0,0,0,813135,0
0.338994,0,0,0,0,808110,0
0.340495,0,0,0,0,806190,0
0.341932,0,0,0,0,805782,0
0.343446,0,0,0,0,763149,0
0.344884,0,0,0,0,760284,0
0.346273,0,0,0,0,766527,0
0.347674,0,0,0,0,758739,0
0.349061,0,0,0,0,755550,0
0.350458,0,0,0,0,871827,0
0.351953,0,0,0,0,839943,0
0.353368,0,0,0,0,744702,0
0.354735,0,0,0,0,735354,0
0.356157,0,0,0,0,739389,0
0.357534,0,0,0,0,732378,0
0.358949,0,0,0,0,717693,0
0.360343,0,0,0,0,732882,0
0.361705,0,0,0,0,726000,0
0.363051,0,0,0,0,716958,0
0.364396,0,0,0,0,718281,0
0.365743,0,0,0,0,712137,0
0.367123,0,0,0,0,796890,0
0.368574,0,0,0,0,712353,0
0.369921,0,0,0,0,703689,0
0.371257,0,0,0,0,749052,0
0.372619,0,0,0,0,705009,0
0.374005,0,0,0,0,708816,0
0.375341,0,0,0,0,716364,0
0.376682,0,0,0,0,696552,0
0.378012,0,0,0,0,695346,0
0.379341,0,0,0,0,705975,0
0.380686,0,0,0,0,702288,0
0.382015,0,0,0,0,698316,0
0.383379,0,0,0,0,759660,0
0.384741,0,0,0,0,690006,0
0.386066,0,0,0,0,692070,0
0.387390,0,0,0,0,876033,0
0.388834,0,0,0,0,708027,0
0.390177,0,0,0,0,690558,0
0.391564,0,0,0,0,685692,0
0.392886,0,0,0,0,729102,0
0.394254,0,0,0,0,688707,0
0.395581,0,0,0,0,687672,0
0.396901,0,0,0,0,681717,0
0.398218,0,0,0,0,684603,0
0.399668,0,0,0,0,739119,0
0.401098,0,0,0,0,732648,0
0.402519,0,0,0,0,670215,0
0.403927,0,0,0,0,626430,0
0.405337,0,0,0,0,623481,0
0.406804,0,0,0,0,691797,0
0.408285,0,0,0,0,704082,0
0.409776,0,0,0,0,699705,0
0.411459,0,0,0,0,729597,0
0.413023,0,0,0,0,707127,0
0.414584,0,0,0,0,709050,0
0.416077,0,0,0,0,705225,0
0.417570,0,0,0,0,703743,0
0.419058,0,0,0,0,852507,0
0.420673,0,0,0,0,756690,0
0.422352,0,0,0,0,831663,0
0.423983,0,0,0,0,695829,0
0.425672,0,0,0,0,721506,0
0.427504,0,0,0,0,717582,0
0.429268,0,0,0,0,721203,0
0.431059,0,0,0,0,846600,0
0.432867,0,0,0,0,720201,0
0.434426,0,0,0,0,702381,0
0.436120,0,0,0,0,723354,0
0.437852,0,0,0,0,722898,0
0.439589,0,0,0,0,725310,0
0.441325,0,0,0,0,722139,0
0.443055,0,0,0,0,936756,0
0.444743,0,0,0,0,760455,0
0.446523,0,0,0,0,815544,0
0.448159,0,0,0,0,1080603,0
0.450186,0,0,0,0,902931,0
0.452035,0,0,0,0,856275,0
0.454002,0,0,0,0,791832,0
0.455640,0,0,0,0,784035,0
0.457423,0,0,0,0,796209,0
0.459245,0,0,0,0,807297,0
0.461074,0,0,0,0,797193,0
0.462974,0,0,0,0,1028694,0
0.464950,0,0,0,0,798636,0
0.466587,0,0,0,0,776178,0
0.468369,0,0,0,0,781269,0
0.470024,0,0,0,0,787017,0
0.471883,0,0,0,0,809223,0
0.473730,0,0,0,0,824661,0
0.475559,0,0,0,0,803583,0
0.477216,0,0,0,0,795864,0
0.479077,0,0,0,0,809685,0
0.480909,0,0,0,0,797973,0
0.482731,0,0,0,0,795657,0
0.484556,0,0,0,0,790104,0
0.486461,0,0,0,0,679710,0
0.488146,0,0,0,0,779166,0
0.489929,0,0,0,0,795084,0
0.491753,0,0,0,0,798372,0
0.493575,0,0,0,0,797922,0
0.495477,0,0,0,0,799011,0
0.498512,0,0,0,0,911763,0
0.500231,0,0,0,0,771450,0
0.501812,0,0,0,0,769641,0
0.503626,0,0,0,0,767136,0
0.505190,0,0,0,0,765792,0
0.506747,0,0,0,0,676428,0
0.508437,0,0,0,0,775134,0
0.510003,0,0,0,0,771654,0
0.511579,0,0,0,0,768573,0
0.513138,0,0,0,0,775254,0
0.514718,0,0,0,0,846612,0
0.516328,0,0,0,0,781374,0
0.517895,0,0,0,0,779085,0
0.519456,0,0,0,0,717318,0
0.521133,0,0,0,0,725268,0
0.522882,0,0,0,0,726096,0
0.524615,0,0,0,0,725268,0
0.526345,0,0,0,0,832146,0
0.528145,0,0,0,0,724017,0
0.529875,0,0,0,0,724053,0
0.531608,0,0,0,0,723492,0
0.533174,0,0,0,0,700755,0
0.534923,0,0,0,0,722268,0
0.536464,0,0,0,0,699522,0
0.538150,0,0,0,0,720534,0
0.539884,0,0,0,0,722382,0
0.541617,0,0,0,0,726189,0
0.543432,0,0,0,0,729693,0
0.545183,0,0,0,0,774342,0
