elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.826957,0,0,0,8578410,0,0
0.828221,0,0,0,8345040,0,0
0.829485,0,0,0,8340024,0,0
0.830751,0,0,0,8357004,0,0
0.832024,0,0,0,8407152,0,0
0.833290,0,0,0,8345298,0,0
0.834555,0,0,0,8353758,0,0
0.835820,0,0,0,8347164,0,0
0.837084,0,0,0,8344074,0,0
0.838350,0,0,0,8352858,0,0
0.839614,0,0,0,8341860,0,0
0.840878,0,0,0,8345586,0,0
0.842185,0,0,0,8629698,0,0
0.843450,0,0,0,8346258,0,0
0.844714,0,0,0,8345790,0,0
0.845981,0,0,0,8359194,0,0
0.847246,0,0,0,8350218,0,0
0.848511,0,0,0,8349450,0,0
0.849777,0,0,0,8354622,0,0
0.851041,0,0,0,8340738,0,0
0.852313,0,0,0,8395356,0,0
0.853671,0,0,0,9002298,0,0
0.854947,0,0,0,8389230,0,0
0.856212,0,0,0,8345988,0,0
0.857477,0,0,0,8343306,0,0
0.858777,0,0,0,8585898,0,0
0.860042,0,0,0,8345196,0,0
0.861306,0,0,0,8346276,0,0
0.862583,0,0,0,8419140,0,0
0.863847,0,0,0,8347140,0,0
