elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.685595,0,0,0,0
0.687146,0,0,0,0
0.688702,0,0,0,0
0.690253,0,0,0,0
0.691807,0,0,0,0
0.693350,0,0,0,0
0.694933,0,0,0,0
0.696365,0,0,0,0
0.697886,0,0,0,0
0.699437,0,0,0,0
0.700987,0,0,0,0
0.702577,0,0,0,0
0.704130,0,0,0,0
0.705681,0,0,0,0
0.707117,0,0,0,0
0.708641,0,0,0,0
0.710189,0,0,0,0
0.711828,0,0,0,0
0.713377,0,0,0,0
0.714924,0,0,0,0
0.716363,0,0,0,0
0.717900,0,0,0,0
0.719329,0,0,0,0
0.720796,0,0,0,0
0.722179,0,0,0,0
0.723557,0,0,0,0
0.724937,0,0,0,0
0.726364,0,0,0,0
0.727720,0,0,0,0
0.729083,0,0,0,0
0.730438,0,0,0,0
0.731793,0,0,0,0
0.734332,0,0,0,0
0.735755,0,0,0,0
0.737166,0,0,0,0
0.738576,0,0,0,0
0.739990,0,0,0,0
0.741401,0,0,0,0
0.742824,0,0,0,0
0.744256,0,0,0,0
0.745637,0,0,0,0
0.747015,0,0,0,0
0.748398,0,0,0,0
0.749785,0,0,0,0
0.751230,0,0,0,0
0.752777,0,0,0,0
0.754244,0,0,0,0
0.755646,0,0,0,0
0.757049,0,0,0,0
0.758513,0,0,0,0
0.760091,0,0,0,0
0.761596,0,0,0,0
0.762980,0,0,0,0
0.764364,0,0,0,0
0.765771,0,0,0,0
0.767200,0,0,0,0
0.768594,0,0,0,0
0.770395,0,0,0,0
0.771792,0,0,0,0
0.773232,0,0,0,0
0.774652,0,0,0,0
0.776046,0,0,0,0
0.777425,0,0,0,0
0.778807,0,0,0,0
0.780194,0,0,0,0
0.781579,0,0,0,0
0.783021,0,0,0,0
0.784406,0,0,0,0
0.785790,0,0,0,0
0.787172,0,0,0,0
0.788552,0,0,0,0
0.790161,0,0,0,0
0.791593,0,0,0,0
0.793064,0,0,0,0
0.794445,0,0,0,0
0.795824,0,0,0,0
0.797201,0,0,0,0
0.798618,0,0,0,0
0.799994,0,0,0,0
0.801372,0,0,0,0
0.802749,0,0,0,0
0.804139,0,0,0,0
0.805552,0,0,0,0
0.806975,0,0,0,0
0.808363,0,0,0,0
0.809744,0,0,0,0
0.811122,0,0,0,0
0.812558,0,0,0,0
0.813947,0,0,0,0
0.815421,0,0,0,0
0.816809,0,0,0,0
0.818180,0,0,0,0
0.819568,0,0,0,0
0.822174,0,0,0,0
0.825149,0,0,0,0
0.827009,0,0,0,0
0.828400,0,0,0,0
0.829864,0,0,0,0
0.831279,0,0,0,0
0.832736,0,0,0,0
0.834121,0,0,0,0
0.835552,0,0,0,0
0.836942,0,0,0,0
0.838316,0,0,0,0
0.839699,0,0,0,0
0.841455,0,0,0,0
0.843182,0,0,0,0
0.844654,0,0,0,0
0.846041,0,0,0,0
0.847466,0,0,0,0
0.848862,0,0,0,0
0.850247,0,0,0,0
0.851766,0,0,0,0
0.853317,0,0,0,0
0.854908,0,0,0,0
0.856459,0,0,0,0
0.858009,0,0,0,0
0.859572,0,0,0,0
0.861123,0,0,0,0
0.862715,0,0,0,0
0.864265,0,0,0,0
0.865817,0,0,0,0
0.867369,0,0,0,0
0.868911,0,0,0,0
0.870384,0,0,0,0
0.871774,0,0,0,0
0.873162,0,0,0,0
0.874549,0,0,0,0
0.875935,0,0,0,0
0.877322,0,0,0,0
0.878748,0,0,0,0
0.880137,0,0,0,0
0.881531,0,0,0,0
0.882936,0,0,0,0
0.884317,0,0,0,0
0.885724,0,0,0,0
