elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
1.456329,0,0,0,0
1.457897,0,0,0,0
1.459469,0,0,0,0
1.461029,0,0,0,0
1.462586,0,0,0,0
1.464161,0,0,0,0
1.465556,0,0,0,0
1.467082,0,0,0,0
1.468638,0,0,0,0
1.470207,0,0,0,0
1.471767,0,0,0,0
1.473325,0,0,0,0
1.474885,0,0,0,0
1.476444,0,0,0,0
1.478000,0,0,0,0
1.479559,0,0,0,0
1.481005,0,0,0,0
1.482574,0,0,0,0
1.484227,0,0,0,0
1.485823,0,0,0,0
1.487421,0,0,0,0
1.489019,0,0,0,0
1.490690,0,0,0,0
1.492356,0,0,0,0
1.493942,0,0,0,0
1.495399,0,0,0,0
1.496979,0,0,0,0
1.498578,0,0,0,0
1.500234,0,0,0,0
1.501828,0,0,0,0
1.503306,0,0,0,0
1.504874,0,0,0,0
1.506470,0,0,0,0
1.508072,0,0,0,0
