elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.688064,0,0,0,0,0,0,0,0
0.689636,0,0,0,0,0,0,0,0
0.691214,0,0,0,0,0,0,0,0
0.692787,0,0,0,0,0,0,0,0
0.694418,0,0,0,0,0,0,0,0
0.695991,0,0,0,0,0,0,0,0
0.697563,0,0,0,0,0,0,0,0
0.699227,0,0,0,0,0,0,0,0
0.700800,0,0,0,0,0,0,0,0
0.702376,0,0,0,0,0,0,0,0
0.703950,0,0,0,0,0,0,0,0
0.705535,0,0,0,0,0,0,0,0
0.707161,0,0,0,0,0,0,0,0
0.709586,0,0,0,0,0,0,0,0
0.711075,0,0,0,0,0,0,0,0
0.712490,0,0,0,0,0,0,0,0
0.713981,0,0,0,0,0,0,0,0
0.715430,0,0,0,0,0,0,0,0
0.716840,0,0,0,0,0,0,0,0
0.718253,0,0,0,0,0,0,0,0
0.719780,0,0,0,0,0,0,0,0
0.721220,0,0,0,0,0,0,0,0
0.722628,0,0,0,0,0,0,0,0
0.724165,0,0,0,0,0,0,0,0
0.725746,0,0,0,0,0,0,0,0
0.727332,0,0,0,0,0,0,0,0
0.728902,0,0,0,0,0,0,0,0
0.730476,0,0,0,0,0,0,0,0
0.732047,0,0,0,0,0,0,0,0
0.733556,0,0,0,0,0,0,0,0
0.735136,0,0,0,0,0,0,0,0
0.736680,0,0,0,0,0,0,0,0
0.738123,0,0,0,0,0,0,0,0
0.739667,0,0,0,0,0,0,0,0
0.741240,0,0,0,0,0,0,0,0
0.742856,0,0,0,0,0,0,0,0
0.744432,0,0,0,0,0,0,0,0
0.746008,0,0,0,0,0,0,0,0
0.747596,0,0,0,0,0,0,0,0
0.749168,0,0,0,0,0,0,0,0
0.750742,0,0,0,0,0,0,0,0
0.752315,0,0,0,0,0,0,0,0
0.753928,0,0,0,0,0,0,0,0
0.755503,0,0,0,0,0,0,0,0
0.757076,0,0,0,0,0,0,0,0
0.758708,0,0,0,0,0,0,0,0
0.760283,0,0,0,0,0,0,0,0
0.761855,0,0,0,0,0,0,0,0
0.763390,0,0,0,0,0,0,0,0
0.764806,0,0,0,0,0,0,0,0
0.766348,0,0,0,0,0,0,0,0
0.767921,0,0,0,0,0,0,0,0
0.769506,0,0,0,0,0,0,0,0
0.771079,0,0,0,0,0,0,0,0
0.772653,0,0,0,0,0,0,0,0
0.774229,0,0,0,0,0,0,0,0
0.775847,0,0,0,0,0,0,0,0
0.777421,0,0,0,0,0,0,0,0
0.778995,0,0,0,0,0,0,0,0
0.780583,0,0,0,0,0,0,0,0
0.782158,0,0,0,0,0,0,0,0
0.783732,0,0,0,0,0,0,0,0
0.785305,0,0,0,0,0,0,0,0
0.786879,0,0,0,0,0,0,0,0
0.788454,0,0,0,0,0,0,0,0
0.790031,0,0,0,0,0,0,0,0
0.791665,0,0,0,0,0,0,0,0
0.793237,0,0,0,0,0,0,0,0
0.794812,0,0,0,0,0,0,0,0
0.796376,0,0,0,0,0,0,0,0
0.798008,0,0,0,0,0,0,0,0
0.799610,0,0,0,0,0,0,0,0
0.801216,0,0,0,0,0,0,0,0
0.802802,0,0,0,0,0,0,0,0
0.804376,0,0,0,0,0,0,0,0
0.805950,0,0,0,0,0,0,0,0
0.807523,0,0,0,0,0,0,0,0
0.809094,0,0,0,0,0,0,0,0
0.810667,0,0,0,0,0,0,0,0
0.812117,0,0,0,0,0,0,0,0
0.813677,0,0,0,0,0,0,0,0
0.815254,0,0,0,0,0,0,0,0
0.816827,0,0,0,0,0,0,0,0
0.818403,0,0,0,0,0,0,0,0
0.819977,0,0,0,0,0,0,0,0
0.821550,0,0,0,0,0,0,0,0
0.823072,0,0,0,0,0,0,0,0
0.824613,0,0,0,0,0,0,0,0
0.826056,0,0,0,0,0,0,0,0
0.827598,0,0,0,0,0,0,0,0
0.829170,0,0,0,0,0,0,0,0
0.830742,0,0,0,0,0,0,0,0
0.832316,0,0,0,0,0,0,0,0
0.833942,0,0,0,0,0,0,0,0
0.835526,0,0,0,0,0,0,0,0
0.837097,0,0,0,0,0,0,0,0
0.838715,0,0,0,0,0,0,0,0
0.840289,0,0,0,0,0,0,0,0
0.841861,0,0,0,0,0,0,0,0
0.843470,0,0,0,0,0,0,0,0
0.845042,0,0,0,0,0,0,0,0
0.846631,0,0,0,0,0,0,0,0
0.848205,0,0,0,0,0,0,0,0
0.849776,0,0,0,0,0,0,0,0
0.851352,0,0,0,0,0,0,0,0
0.852926,0,0,0,0,0,0,0,0
0.854545,0,0,0,0,0,0,0,0
0.856118,0,0,0,0,0,0,0,0
0.857703,0,0,0,0,0,0,0,0
0.859279,0,0,0,0,0,0,0,0
0.860850,0,0,0,0,0,0,0,0
0.862424,0,0,0,0,0,0,0,0
0.863997,0,0,0,0,0,0,0,0
0.865570,0,0,0,0,0,0,0,0
0.867230,0,0,0,0,0,0,0,0
0.868815,0,0,0,0,0,0,0,0
0.870434,0,0,0,0,0,0,0,0
0.872008,0,0,0,0,0,0,0,0
0.873580,0,0,0,0,0,0,0,0
0.875206,0,0,0,0,0,0,0,0
0.876777,0,0,0,0,0,0,0,0
0.878351,0,0,0,0,0,0,0,0
0.879939,0,0,0,0,0,0,0,0
0.881510,0,0,0,0,0,0,0,0
0.882954,0,0,0,0,0,0,0,0
0.884496,0,0,0,0,0,0,0,0
0.886071,0,0,0,0,0,0,0,0
0.887688,0,0,0,0,0,0,0,0
0.889259,0,0,0,0,0,0,0,0
0.890723,0,0,0,0,0,0,0,0
0.892269,0,0,0,0,0,0,0,0
0.893842,0,0,0,0,0,0,0,0
0.895231,0,0,0,0,0,0,0,0
0.896643,0,0,0,0,0,0,0,0
0.898182,0,0,0,0,0,0,0,0
0.899755,0,0,0,0,0,0,0,0
0.901341,0,0,0,0,0,0,0,0
0.902959,0,0,0,0,0,0,0,0
0.904534,0,0,0,0,0,0,0,0
0.906110,0,0,0,0,0,0,0,0
0.907683,0,0,0,0,0,0,0,0
0.909254,0,0,0,0,0,0,0,0
0.910828,0,0,0,0,0,0,0,0
0.912417,0,0,0,0,0,0,0,0
0.913992,0,0,0,0,0,0,0,0
0.915566,0,0,0,0,0,0,0,0
0.917137,0,0,0,0,0,0,0,0
0.918607,0,0,0,0,0,0,0,0
0.920107,0,0,0,0,0,0,0,0
0.921517,0,0,0,0,0,0,0,0
0.922920,0,0,0,0,0,0,0,0
0.924331,0,0,0,0,0,0,0,0
0.925739,0,0,0,0,0,0,0,0
0.927274,0,0,0,0,0,0,0,0
0.928838,0,0,0,0,0,0,0,0
0.930281,0,0,0,0,0,0,0,0
